Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006,18:44:00,2.978,0.166,234.81,13.2,0,1,17
16/12/2006,18:45:00,4.2,0.174,234.38,17.8,0,1,17
16/12/2006,18:46:00,4.204,0.186,234.2,17.8,0,1,16
16/12/2006,18:47:00,4.218,0.178,233.98,18,0,1,17
16/12/2006,18:48:00,2.786,0.188,234.99,12,0,2,17
16/12/2006,18:49:00,2.54,0.088,234.67,10.8,0,4,17
16/12/2006,18:50:00,2.496,0.08,233.92,10.6,0,3,17
16/12/2006,18:51:00,2.336,0.07,233.51,10,0,1,16
16/12/2006,18:52:00,2.322,0,233.44,9.8,0,0,17
16/12/2006,18:53:00,2.448,0,233.64,10.6,0,1,17
16/12/2006,18:54:00,4.298,0,232.39,18.4,0,1,16
16/12/2006,18:55:00,4.23,0.09,232.25,18.2,0,1,17
16/12/2006,18:56:00,4.23,0.09,232.32,18.2,0,2,16
16/12/2006,18:57:00,3.924,0.084,232.79,17,0,1,17
16/12/2006,18:58:00,4.218,0.09,232.09,18,0,1,17
16/12/2006,18:59:00,4.224,0.09,231.96,18.2,0,1,16
16/12/2006,19:00:00,4.07,0.088,231.99,17.4,0,1,17
16/12/2006,19:01:00,3.612,0.09,232.36,15.6,0,2,16
16/12/2006,19:02:00,3.458,0.09,232.71,14.8,0,1,17
